Booking ID,Booking Date,Trip Start Date,Planned ETA,Actual ETA,Trip End Date,Origin Location,Origin Lat,Origin Lon,Stopover Location,Stopover Lat,Stopover Lon,Destination Location,Destination Lat,Destination Lon,Distance (KM),Shipment Type,Material Category,Material Shipped,Material Weight (KG),Vehicle Type,Vehicle Registration,GPS Notes,Enroute Issues,Supplier Name,Customer Name,Supplier Specialization,Driver Name,Driver Mobile No,Trip Status,Load Type,Delivery Window Start,Delivery Window End,Driver Hours Logged,Notes,Trip Type
c5bfb8b2-e807-46a0-9623-f128e6266ad1,2021-12-14,2021-12-22 08:08:25.087927,2021-12-24 02:45:15.533920,2021-12-24 04:13:03.248529,2021-12-24 04:13:03.248529,"San Antonio, TX",29.4241,-98.4936,,,,"Seattle, WA",47.6062,-122.3321,3540.24,Regular,,,,Reefer Truck,JAT-9946,Consistent,,,,,Samantha Jones,(849)694-7174,Completed,,2021-12-24 08:00:00,2021-12-24 18:00:00,44.08,Empty Return,Empty Return
4677714d-607a-4cc4-8f31-11da924d0c82,2023-03-10,2023-03-12 08:37:33.550425,2023-03-12 13:25:08.441068,2023-03-12 13:45:56.565080,2023-03-12 13:45:56.565080,"Washington, DC",38.9072,-77.0369,,,,"New York, NY",40.7128,-74.006,364.57,Regular,,,,Flatbed,AVX-1640,Consistent,,,,,Joseph Dean,570.434.8247x7109,Completed,,2023-03-12 08:00:00,2023-03-12 18:00:00,5.14,Empty Return,Empty Return
37592c10-d60e-4f90-9e72-15b318c8ffe6,2021-10-15,2021-10-16 07:50:47.513685,2021-10-16 08:11:23.571965,2021-10-16 08:09:32.361907,2021-10-16 08:09:32.361907,Tijuana,32.514947,-117.038247,,,,"San Diego, CA",32.7157,-117.1611,31.9,Regular,,,,Box Truck,ZHK-1913,Consistent,,,,,Stacy Freeman,+1-309-313-4316,Completed,,2021-10-16 08:00:00,2021-10-16 18:00:00,0.31,Empty Return,Empty Return
ca7672ac-0023-4b0f-a7b7-4e0e27c232a5,2024-05-06,2024-05-16 11:13:05.910220,2024-05-18 07:58:03.164849,2024-05-18 10:57:16.244036,2024-05-18 10:57:16.244036,"Vancouver, BC",49.282729,-123.120738,,,,"Chicago, IL",41.8781,-87.6298,3681.26,Regular,,,,Reefer Truck,HSB-1845,Consistent,,,,,Wanda Torres,+1-309-413-3412x328,Completed,,2024-05-18 08:00:00,2024-05-18 18:00:00,47.74,Empty Return,Empty Return
8fe96b3b-bae9-47b7-a5dc-b07339fdd206,2022-05-24,2022-05-28 12:57:19.483451,2022-05-29 12:38:39.376927,2022-05-29 14:27:33.631409,2022-05-29 14:27:33.631409,"San Jose, CA",37.3382,-121.8863,,,,"Denver, CO",39.7392,-104.9903,2211.89,Regular,,,,Box Truck,MBJ-1338,Consistent,,,,,Tony Huerta,664-674-3671x3695,Completed,,2022-05-29 08:00:00,2022-05-29 18:00:00,25.5,Empty Return,Empty Return
56339811-eefd-460e-8e6e-6e877ae434d3,2020-09-02,2020-09-04 16:10:41.821082,2020-09-04 23:15:18.783413,2020-09-04 22:58:46.154426,2020-09-04 22:58:46.154426,"San Jose, CA",37.3382,-121.8863,,,,"Los Angeles, CA",34.0522,-118.2437,552.04,Regular,,,,Flatbed,IBL-3387,Consistent,,,,,Ronald Foster,5905974395,Completed,,2020-09-04 08:00:00,2020-09-04 18:00:00,6.8,Empty Return,Empty Return
e912b64c-a465-41d3-880d-28e952c3686b,2022-10-29,2022-11-03 02:02:07.390140,2022-11-04 13:27:39.926347,2022-11-04 11:16:19.854776,2022-11-04 11:16:19.854776,Monterrey,25.686614,-100.316116,,,,"Toronto, ON",43.65107,-79.347015,3385.79,Regular,,,,Tanker,AFG-1850,Consistent,,,,,Samantha Jones,(849)694-7174,Completed,,2022-11-04 08:00:00,2022-11-04 18:00:00,33.24,Empty Return,Empty Return
a3d2a19c-28b5-4407-b5b5-9f38452480f2,2021-09-15,2021-09-18 06:36:03.257956,2021-09-18 17:14:21.490585,2021-09-18 16:26:41.248050,2021-09-18 16:26:41.248050,"Charlotte, NC",35.2271,-80.8431,,,,"Indianapolis, IN",39.7684,-86.1581,951.58,Regular,,,,Reefer Truck,WSD-5685,Consistent,,,,,Joseph Dean,570.434.8247x7109,Completed,,2021-09-18 08:00:00,2021-09-18 18:00:00,9.84,Empty Return,Empty Return
2a2f4f8e-bce3-4907-8afc-48fd6968ed3b,2019-07-06,2019-07-06 22:07:14.945486,2019-07-07 03:10:27.471786,2019-07-07 02:43:47.367435,2019-07-07 02:43:47.367435,"Washington, DC",38.9072,-77.0369,,,,"New York, NY",40.7128,-74.006,386.55,Regular,,,,Container Truck,LTA-3435,Consistent,,,,,Katherine Miller,2656940139,Completed,,2019-07-07 08:00:00,2019-07-07 18:00:00,4.61,Empty Return,Empty Return
025ba6d2-c98a-4bf3-bbfa-62e8e1165169,2021-10-30,2021-11-02 19:21:34.861281,2021-11-04 05:19:00.783345,2021-11-04 05:07:41.579670,2021-11-04 05:07:41.579670,"Charlotte, NC",35.2271,-80.8431,,,,"Denver, CO",39.7392,-104.9903,2529.16,Regular,,,,Box Truck,OIV-1043,Consistent,,,,,Theresa Williams,+1-784-470-0766x17711,Completed,,2021-11-04 08:00:00,2021-11-04 18:00:00,33.77,Empty Return,Empty Return
